depth,clay,silt,sand,gravel
2.0,26.479294144259715,29.986234867290325,40.93272484397176,2.6017475656231817
3.0,27.339270409801657,44.600345963203246,28.06003911236846,0.000344514626628249
4.0,36.36811913484305,42.65745937571365,19.722179298048164,1.252242191395118
5.0,35.60411401303184,47.546384792033855,16.626064706748462,0.2234365306785265
6.0,34.77450695689837,49.67417457786966,15.528346902059853,0.022981607704773897
7.0,41.403784306144324,57.62878516748107,0.9674305263746421,0.0
8.0,38.9545317466438,52.94742286379671,7.819622744138515,0.2784226454209694
9.0,37.2835600283853,49.406837041943774,13.309602929670927,0.0
10.0,32.076080770389694,45.175983113453064,22.62373721293696,0.1241989032202753
11.0,35.971197253796035,50.77718397873552,13.20000630919384,0.05161245827461398
12.0,27.308836143577203,35.68071652138804,36.18775318220227,0.8226941528445243
13.0,33.67947577470268,42.96020500955875,22.632426444805343,0.727892841140928
14.0,31.070890613820552,38.71789141446787,28.90281727959179,1.3084006921197848
15.0,27.057487935495665,40.19315572469668,31.921076324869514,0.828280599181321
16.0,36.36302709774786,53.44040493976619,10.196567962485933,0.0
17.0,34.701783293817684,60.12104872781998,5.177167978362314,0.0
18.0,38.59910463502796,52.44841941934832,8.952475945623702,0.0
20.0,43.13029708830228,45.02039576291737,11.78542826400603,0.06387893627375733
27.0,44.06569523234428,47.16365945366896,8.77064531398677,5.56466654681268e-07
35.5,20.669709953,78.266582,1.0637058999999998,0.0
51.0,46.272535704690554,41.18970444236009,11.948511486825115,0.5892551727833155
70.5,42.262807020000004,57.73716629999999,0.0,0.0
81.0,51.87946765741075,36.829009971875514,10.544961388707364,0.7465609820063674
86.5,25.813179461,56.84819999999999,17.33861594,0.0
92.0,42.13159165300001,57.868429000000006,0.0,0.0
106.0,42.86397918547782,40.04715107871924,15.878192053257482,1.2106776825454648
110.5,58.711449480000006,41.2885479,0.0,0.0
111.5,26.95025821,39.88284660000001,33.16691747,0.0
112.5,43.06738583999999,56.9325982,0.0,0.0
113.5,26.022799421999995,40.80313700000001,33.17409669,0.0
114.5,49.293895611,50.70605870999999,0.0,0.0
116.5,28.384742109999998,37.32064846000001,34.2945833,0.0
118.5,49.93677632000001,50.063189200000004,0.0,0.0
119.5,30.73997333,69.2599948,0.0,0.0
131.0,42.04798981570772,32.27446528063577,23.103902580158714,2.573649326560621
140.5,54.098369250000005,45.90162830000001,0.0,0.0
154.5,26.273931184,71.78372000000002,1.9423389999999998,0.0
156.0,36.1903223483718,50.411323352256815,13.398354299371377,8.34849345210387e-09
181.0,40.29528594784743,44.502062041800826,15.2022014198444,0.0004575044033430233
190.5,53.321485953999996,46.678491400000006,0.0,0.0
206.0,38.69165491393234,51.21411532922846,10.09422975683921,1.73846122682638e-11
206.5,27.701803901999998,70.23857,2.0596259000000003,0.0
215.5,33.36763953100001,34.5944827,32.037882919999994,0.0
224.5,23.395028328000002,48.3190836,28.2858678,0.0
231.0,20.79242988921402,37.608017186093896,41.59955292469208,2.80834910881822e-10
239.5,28.954115155999993,43.790837,27.25503149999999,0.0
248.5,24.296518903999996,41.63714,34.066314299999995,0.0
259.5,49.763877737,50.236122400000006,0.0,0.0
261.0,19.335342235910456,19.940400009226902,54.530279071016686,6.1939786838459625
266.5,7.315782252,11.50630804,83.09343470000002,0.0
276.5,4.0266076,6.193723299999999,94.4930854,0.0
286.0,17.52646790343499,41.9859119294173,40.4876201671477,8.97974435550471e-10
288.5,65.62876227999999,34.37121379999999,0.0,0.0
292.5,29.213900565000003,45.809364699999996,24.976740914000004,0.0
301.5,44.70221205800001,55.29778000000001,0.0,0.0
312.0,21.12643479134478,33.24571672861498,44.216148392907094,1.4117001188953209
318.5,22.170150829999997,55.71621,22.11363812,0.0
329.5,4.9424313699999995,5.66221483,89.60075219999999,0.0
340.5,5.290578582,3.76294944,98.54907769999998,0.0
350.5,5.600814672000001,3.093018475,116.8080172,0.0
361.0,31.380843472770053,42.675448791085515,25.911153177835917,0.03255531546100104
375.5,56.35916148399998,43.64082979999999,0.0,0.0
392.5,7.411862488000001,6.15613547,86.4319693,0.0
401.0,24.286365389480512,36.44478867672561,39.26884593379383,1.31120840762833e-06
421.0,25.848925902234296,34.995092569214634,39.15598152855106,3.91329327461184e-08
437.5,12.547286783,19.779386000000002,67.673315,0.0
