depth,planktic_percent,paleo_depth
1,16.666666666666664,65.11663197036906
2,0.0,36.13203977096243
4,0.0,36.13203977096243
7,0.0,36.13203977096243
6,0.0,36.13203977096243
8,0.0,36.13203977096243
10,0.0,36.13203977096243
11,0.0,36.13203977096243
12,2.0833333333333335,38.892638847284154
13,0.0,36.13203977096243
14,0.0,36.13203977096243
15,2.9702970297029703,40.13104791837467
16,0.0,36.13203977096243
17,0.0,36.13203977096243
18,1.0204081632653061,37.45878359892046
19,1.1363636363636365,37.61259963387394
20,2.9411764705882355,40.08976947579314
30,0.0,36.13203977096243
40,0.2915451895043732,36.50624007725953
50,2.7932960893854752,39.88080313965225
60,1.9607843137254906,38.72456362376
70,2.777777777777778,39.85893782016985
80,2.9411764705882355,40.08976947579314
90,5.405405405405405,43.73755114374163
99,6.521739130434782,45.49754010502387
100,4.347826086956522,42.13303759495968
101,5.035971223021582,43.170233699450236
110,4.716981132075471,42.68630373699192
114,0.0,36.13203977096243
118,12.12121212121212,55.45343371266565
127,12.5,56.20074426716811
130,11.111111111111112,53.508828911333275
138,17.647058823529413,67.41227067386346
147,5.0,43.11538957146913
150,11.111111111111112,53.508828911333275
160,13.333333333333334,57.88046872783909
170,0.0,36.13203977096243
180,0.0,36.13203977096243
194,18.181818181818183,68.698368759655
200,0.0,36.13203977096243
210,0.0,36.13203977096243
217,20.0,73.25745372074128
229,0.0,36.13203977096243
234,14.285714285714288,59.861714440845915
