,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
13.0,13338.397157263998,66785.09551244699,206922.55729036,790.529039616,6268.691834443,10928.021822675999,21051.90941984,1083.73020284572,65056.526060032,10526.454905395,121.54782042,107.727240720478,36.42918091878499,65.76390462095999,41.4649047221,128.66464488482,217.55311636416002,57.416680965333,6.3079999225636,225.9756079443,53.620734182869995,267.00546289816,107.73324778589999,10.4457317239128,7.285912825537,3.7548742423608004
14.0,16002.142205072,75094.30243737299,203060.75269742,680.5824062720001,7188.006655653999,10413.328728033,13565.039787168,981.8250630968,67286.913485504,8808.515745415101,82.042203218625,60.470084250591,40.81369412911,75.466792620324,47.320467027997005,144.25684258249998,177.1175150688,63.114744006764994,8.035366155028601,203.42359431144,74.71259319799,223.93578008221,81.75642095775,10.5892613003604,5.978764298297,2.4805487078892003
15.0,15612.098747888,75359.19502487099,202524.06065548,697.2094566400001,7631.639760038999,11018.810885985,13359.142509128,940.5424981091601,67502.572008192,8657.5394454835,76.059514263915,58.519851770854004,39.27804796066,75.63130831380599,49.581117110345005,121.34286938097,172.02366363072,62.910406894642,7.131242050410999,201.7468161639,75.384963352665,217.97495450703,84.27301209745,11.6222694695884,6.676765367115,1.8031605305454002
16.0,15248.005327375997,75271.278162672,203970.0408843,752.0087609600001,5650.353273381999,11256.339678948,18225.750669240002,980.98282894876,66035.598384832,8763.557984238201,103.44686875048501,96.097152766436,36.78298841188,74.121175934568,45.888709346628005,143.3270626387,199.0928841408,61.16722187049599,8.1420796457794,198.97433699904002,71.01194692448,221.59838929416998,91.84355972659999,9.1846348920144,6.469687557887,2.671191009864
17.0,16059.24195696,75742.53345647099,205601.1733681,772.66226816,6373.773981812,11061.032131863,17947.6058694,1000.49945865396,65696.44320595199,8440.7292700731,104.82879855473999,84.692582685948,36.28905077254,74.23094431935,49.83018110364501,180.88669946244,180.13487048448,62.30334101337299,12.441712139003599,201.24047833667998,72.77151958936,213.7582610842,46.43642022525,11.4194856637372,6.122035978427,2.3685409211958
18.0,15044.440923584,72740.375328443,204009.10495382,767.3486245120001,6034.2490425920005,11085.399732833997,19504.840441512,1036.35924067248,64780.001509247995,9021.2706704835,99.91464218424001,92.14860136711701,40.176884863355,70.370151460434,45.541281523334,202.23571868257997,196.32407985216,61.47108160390599,7.726181423826199,213.93130004964,66.1625044442,207.2445354147,66.31669374935,10.4035724147712,6.632779455746,4.1080616869032
19.0,14809.215564896,72313.20051730599,199396.86327941998,687.7365350400001,6838.779436376,10659.1004667,16508.384731544,983.69328535812,64919.332066560004,8596.910965385601,101.492849646825,91.883593671187,33.989257529475,71.37319324136399,47.091618007848005,265.93914972735996,194.97213160128,62.429581153049995,5.3525895312492,210.63959584056,70.44993111064,223.94999820927998,80.14321819899999,12.1705049251016,6.965198721225,1.248925930785
20.0,15639.640367696,75703.72276692299,204928.75088002003,700.6922417920001,5662.457104495999,10735.304433336,16065.619254432,977.0275836381201,65460.331654464004,8636.0991655224,105.087622252275,91.39721240452201,39.265817890084996,73.539677261484,48.079020386195005,306.4329455697,189.40993239168,62.27279164019,6.125512485593401,204.36251411214,73.42279176256999,229.63961912955,93.6535278998,12.585515727013599,6.453940735943,0.0
30.0,14851.593634095998,75192.13119204999,206073.38965215997,687.1886062080001,6600.507037849001,11248.970046678,13458.618482416001,1014.31514661844,66946.106153856,8809.7630577099,116.52895476729,99.001977860927,40.01697875027,74.01839748269398,50.344663020026005,153.29678693452,188.45322127488,62.23383541007599,8.6042938144466,196.74690735348,73.422285141255,189.59750829159,84.2122035645,10.029762756650001,7.250400930459,0.0
40.0,14370.585156911999,70652.50462375699,201003.96649629998,753.539980672,6809.433917626,9905.805955962,22605.841667647997,1006.99179584316,63522.78708089599,8633.0909422901,97.672223417145,80.534087610874,35.43658656935,68.328801685242,43.400581918803006,131.88911905293998,229.72765603776,59.472670213106994,9.0388803035974,224.22310660746,63.18480078827999,234.22780894533997,76.325380978,11.117716498579599,7.476892137698999,5.894269948780201
50.0,15554.786536287998,72783.32252538299,199940.94015173998,671.4014686720001,6238.131667277001,10773.776990150998,14204.621969576001,928.63056424228,65533.424514304,8696.8386950731,107.57340970993499,95.17179915533299,38.626115899125,74.745940294242,48.48815536080101,187.31954256705998,190.45762525248,61.91638763817299,8.352585677918,204.80818346694002,71.50563262037,226.08799048647,90.92056705214999,10.354918594073201,7.275944190523,5.1883302068676
60.0,14895.834562016,75149.53706586998,203830.14451212002,728.3378734080001,5882.11820235,10877.39905392,15572.219750712002,939.0802244474401,66135.268495616,8768.355871704001,120.57481750859999,95.23154423568,35.69071545238,73.858886810478,46.596085604657006,123.14454950966,197.83604587968,63.411688483662,8.0052651119232,204.59281769388002,69.520671456075,201.42357003426,113.13085125705,10.53762418324,7.215510188594,1.1401493500332
68.0,15875.495530159998,75885.972626187,210045.22907814,741.6053230080001,6092.296856744,10816.990476705,15947.241099304001,976.2440150187201,66778.09205260799,9488.635867153302,99.991581435135,101.122321041161,39.585222947015,70.322535246474,48.762209800225,142.74671934964,183.99191715456,62.19308710124499,6.997166815243601,219.83610149118002,68.657384818575,228.39679716258996,72.00771626455,11.0204138016532,7.1012147625869995,2.6311825154862
70.0,15853.65630144,76681.417536454,206898.90671093998,745.663996672,6021.5470445930005,11143.962603458998,15277.001321896,1017.526372111,66499.92832544,8785.6923171875,114.70818629653499,96.93546684960499,45.034900535765,74.4416859375,49.281333261945,103.57347859173,191.97032398272,63.23850688269499,8.9984992607424,203.86274499612,68.33785400672,202.8021548854,87.54531006705,11.5529934407272,6.319961912335,2.3785974380142
80.0,14724.521087984,72328.43449397199,200478.93875643998,738.324535168,7064.508290029,9983.38319055,18283.065609136003,970.88585425692,65635.95778892799,8753.036145038901,106.35327196065,89.74827462519399,36.41547346711,73.958559589908,45.87649815378601,101.08637121281599,202.07156664960002,60.906898675065996,7.766183179147001,209.69120647566,63.43940617596,244.97777794217,90.24910102395,10.3646955969116,6.2419915004329996,2.5457495157666
90.0,13705.672801984,68512.895025868,186537.7646923,721.264165376,5952.05692718,9284.548244832,20641.61019472,893.4356346490001,62742.786824896,8008.945678176301,91.86236644533,74.65190741132899,42.024014077305,69.305663329056,41.894448660318005,98.549585260674,222.32644983168,59.234610736652996,8.872547462803201,204.6173418657,60.75373813223499,245.73893814616997,93.3800743777,10.784326614152,6.828176555299,5.3112658001364
99.0,14428.706446096001,71698.03965222699,193795.33038214,723.2056794880001,5059.896519694999,9412.817624279998,17054.24017712,1012.8139472740801,63676.688633792,8576.3660125,94.980874396395,82.701646120397,36.005568164885,68.109003965898,42.98753511196201,103.384225534832,208.92121729728,62.163381062474,7.986081300394201,205.9049179746,68.465850087345,220.29279555233998,79.43082317665,10.6009694724948,6.183321595318,2.2981316382882
100.0,13138.137329456002,61797.67266926399,184122.39487436,526.323593472,6183.843152248,10722.114628596,32054.495869584,956.8901525145201,59558.0791728,8098.363466965201,124.3018788102,94.440093517706,32.140868079155,60.618594902922,38.328812833535004,88.085892254354,278.35490220288,57.067988092845994,9.535056691999399,206.38996605378,30.934217921049996,236.34062333972997,78.02002022045,9.6239404593892,4.444257861415999,0.8622708259698
101.0,12714.386055104,59624.24319994099,175628.50404904,679.3055336960001,6651.700763061999,8851.525777899,29812.384838328,875.8084907470801,57759.220732928,7589.811693750001,49.812667507785,48.176619151453004,32.865025057765,60.945735497346,38.021674091598,87.367447900738,288.2463738144,55.387641140476994,7.3548342285702,197.25467899968,65.45634919935,222.39252744505998,87.29159848365,10.7408938707364,4.579733384284,0.8453001235302
110.0,7316.574106272,21618.150281288,250065.19103768,745.2836944640001,2923.909270717,6511.899364739999,66725.43613266399,151.3999553594,6689.123024383999,1703.1066311116,0.0,15.628609858685,0.0,2.8175493690666,4.332606028283901,32.81513338808,443.99231252928,23.090535413206,1.1733871866652001,126.75847181994,14.407273928239999,379.2832129401,0.0,5.6417921639352,1.581041471932,0.0
114.0,7997.134824079999,30464.887943540994,202534.45632414,701.7820524800001,3741.321411725,4159.591389954,66513.90816157601,417.60113793240004,21144.076596928,3461.3907032276,0.0,16.695181606421,0.0,19.244505031289997,11.3136465933626,27.155533113683997,557.37571698624,17.675397940849997,5.499782883285,100.523459632212,21.28765497939,126.68798256205699,36.7715907306,4.3224113219112,1.4816745458629998,0.0
