depth,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
3,14981.73711,62424.60277,179418.3341,958.7945459,4508.377884,8807.44275,51323.93205,807.6220262,58172.15179,8163.346269,58.72235696,70.15061199,27.00175759,63.82298414,48.03831134,137.8481244,392.4983707,49.46541798,10.26182254,200.8555248,65.3432811,257.4117014,114.7767724,16.46875109,6.369558985,4.190163628
4,16339.6025,68065.41549,186267.3969,921.1201281,4934.071027,9355.820999,41575.6831,781.1715135,61845.43959,8153.070807,76.24707057,66.47986975,28.17053672,72.00825916,55.309627,115.3196903,369.4797355,55.46490381,9.363476348,195.4273451,69.77776726,246.560399,89.68031027,15.24973966,4.588631117,1.894557885
5,14173.81037,64171.38179,175275.2729,835.4310941,4176.524255,9517.944714,40013.20161,795.4645749,62262.66163,8173.18924,90.80229162,82.86028468,32.43225835,70.64145742,56.82456816,110.4936224,366.8339467,54.64302588,10.75980431,194.0977066,62.92298252,237.9389419,112.7693467,11.20642122,5.131091384,1.118049393
6,16151.57275,63213.85502,172875.9874,813.3628989,5749.280416,8039.802227,52193.48803,770.4226506,59919.4625,7793.471769,41.27845828,57.43323551,34.91329862,67.91537443,51.54548291,99.76220115,450.2923838,51.8827063,8.684397949,177.6173825,81.38810517,219.4714294,85.71561393,11.59719191,5.183292057,0
7,16058.85781,64790.39182,176266.2712,750.1712793,6275.591666,8803.539934,41713.23801,813.6987552,60988.69283,7658.000066,39.75168893,63.81475871,31.28465724,68.54117912,50.1641249,99.372976,389.2819342,56.41261352,8.746777091,181.6709458,83.26906479,211.2754269,85.08908772,11.20926922,6.28221446,6.762066916
8,15084.97296,72983.15744,192718.4292,632.1772786,8457.013833,10234.69997,15302.34348,840.8709655,65243.70692,7582.206699,68.80225213,49.90937656,39.2478314,71.25820429,51.54872018,99.32373353,159.4175273,63.19708304,10.1647915,179.3481892,89.58219146,204.8479604,111.3454724,10.76870977,7.249481151,6.25332705
9,15922.17249,71259.14625,192110.7017,701.8381906,7445.628484,9220.882877,26508.26962,883.5371145,64469.71947,7563.679964,38.26851726,55.47624457,38.50701688,69.29602883,48.85836095,112.0585576,289.4892942,61.31212068,9.828076533,177.214927,88.7595723,200.3014175,78.21464729,11.94345654,6.337513674,1.812768286
10,15949.59252,71441.97917,194233.9578,656.0811167,8185.718648,9690.982885,23487.9482,949.6488543,65364.68034,7789.033485,54.46509724,62.47509642,34.41196062,70.25712285,48.7466476,111.1171474,269.8656069,60.56234802,8.47120254,169.4125103,94.47953346,201.6903368,108.2789657,11.25006045,6.218114922,0
11,14648.28296,71654.01887,196768.2619,626.2810641,7408.566502,10040.81329,14718.19591,926.3878141,65569.99474,8091.262076,92.04761724,92.34101518,43.48821384,70.77698417,50.22507392,112.3605355,189.5186571,61.48986951,8.974204582,180.2443601,89.53648178,217.0064177,115.4052445,10.14629113,5.548550664,1.233081265
12,15024.47556,61424.55402,175334.7132,791.0700964,8885.367253,7725.991097,53461.32192,1039.052182,59754.59292,7607.738431,35.02128458,44.64866984,25.97071428,60.78652087,41.01953513,89.19697883,777.424489,52.76698464,7.134825503,157.2671719,77.89606445,167.0324111,85.42834749,12.5119601,6.951337414,1.784242529
13,15561.19629,60326.08183,166652.8768,743.8767156,10224.2549,7455.872372,56949.42601,1191.003884,59731.69711,6973.453323,42.75324345,45.52696748,26.60395947,64.4538122,41.77799463,91.5953471,783.1039977,52.38574412,8.099901796,150.4687593,86.02362083,174.358737,78.97976248,10.32158139,6.962084233,0
14,14277.01513,53272.20549,149874.9453,814.9625906,9220.555717,6853.334002,80338.78196,1238.353614,55406.58583,6497.350419,15.492069,43.05061683,24.80939432,60.66677053,36.76347495,86.12273001,1209.544219,48.93790499,5.931072565,131.2817358,78.22666221,131.2318919,100.9000803,11.08833171,6.261402343,0
15,15675.05991,57015.58819,164800.6725,840.9158046,9156.0205,7258.723934,70028.01218,1245.849181,55923.02877,6799.909119,31.04444183,36.35394388,23.87467537,60.12540725,36.77546015,82.43585198,1084.448614,49.87804016,5.344120273,158.554782,78.74978898,162.0145033,99.66484965,10.5330806,6.533929147,0
16,14439.2658,66905.99185,186566.9725,646.574609,8985.943403,9459.615203,24056.1165,1342.081882,64255.16852,7439.716605,47.73119825,54.70376117,38.85627049,70.76230882,45.43920058,100.1634108,361.1200168,58.97690547,10.07819483,170.771075,92.78344719,196.2356469,100.2392533,10.51928073,6.264928813,2.298405505
17,15793.996,71741.14627,200480.6724,658.3717134,8958.832084,9808.402348,16164.08667,1116.838999,64982.08783,7633.421821,61.8643896,52.61680978,35.90745094,69.81501761,44.08749638,96.7168338,177.2563122,59.4503553,11.04599322,178.139584,93.23943192,214.5442138,106.7038865,9.648838164,4.423660662,2.227867723
18,16430.15089,71206.03558,200182.0921,667.4024479,7837.364241,9533.622983,20862.49561,966.5433949,63973.55911,7689.406771,64.42068331,60.16493432,38.20396884,69.4787394,46.93346318,102.6722754,233.9841177,60.40992124,6.138161427,182.9052994,100.3719103,208.7437939,87.83333786,10.97424476,6.162783019,1.637967202
30,15240.85318,72175.99014,214833.1589,709.1088954,7846.128058,10481.3856,14665.68666,1039.905055,66363.84787,8520.598189,76.34760499,92.39894834,41.24872666,70.45736739,44.25397974,123.9293127,193.0828549,60.39381486,6.589563635,196.4872947,67.41177802,269.2985618,71.59969231,11.18533677,5.902254138,0
40,14380.17423,68964.5501,192930.8256,635.5291627,7680.338852,9963.408623,15031.83996,966.070804,65248.54654,8141.1582,99.48522261,93.08027766,43.34290642,73.68144825,49.66205138,104.0660631,201.0010587,61.76249451,9.583334116,182.3209271,78.87685707,214.611003,56.38435739,9.982607442,6.006688671,0.779303685
47,13257.75603,51670.39729,144379.9553,804.5996852,6672.346724,6242.934493,79376.7511,949.0632569,53965.2159,6592.325954,20.93758607,40.77086742,23.96742384,59.00743825,35.71236013,84.40618056,1250.398357,46.17849014,3.631803532,129.359243,68.49131374,158.31275,105.1961882,12.03031804,6.316901654,1.356756723
54,15777.83233,70976.24373,197111.8675,703.2667177,7398.175589,9125.782536,24878.50017,1174.213697,64275.8895,7926.630799,49.85995323,51.80885891,34.81827867,67.77675223,43.96336136,99.62666514,383.6394727,58.12580251,7.548572688,177.2564664,77.2767939,186.2148066,75.16908583,12.34901097,6.508154217,0
61,15821.14886,53870.3082,153475.4814,848.6231538,8154.052035,6481.786746,79038.30207,1192.354771,53419.37848,6645.972397,21.82288123,50.85355439,19.19358027,57.0569715,35.68210614,94.32395392,1132.53576,45.80405618,5.164061051,132.3891242,74.02601792,145.6340539,68.82789814,10.79664355,6.644155114,1.92373432
71,14233.11471,72106.85067,189472.3147,626.381061,7669.199842,10222.84804,15807.09783,814.2219926,63527.69045,6922.305658,82.10541764,83.2632695,37.46868684,69.71252285,44.49405657,109.6521187,163.2654875,63.78578135,8.939787059,177.6978541,77.79633423,206.2896778,146.1713254,10.16612836,8.277485842,5.814733868
76,14857.95688,55130.37589,158904.5797,807.2585085,6952.74641,6912.291982,77035.70398,1003.146458,50676.73411,6489.124501,25.11292862,47.5722866,21.65955978,53.99048859,31.34452295,76.09803221,1047.672864,45.87145892,7.291356352,155.1714077,68.91949936,176.6917062,56.937306,9.588676033,5.824917953,1.627808513
86,14914.88286,67580.62897,183208.6774,644.4178684,9279.090014,9207.973021,24375.47111,1449.038089,62019.79501,7055.931146,41.78699313,47.8516969,36.92278129,66.25789943,40.84273524,95.15557852,239.1297951,59.44293332,8.290847963,183.1516681,86.49419266,201.7068483,107.7516153,10.72575815,5.916000438,3.356370664
96,14305.56508,64479.15275,176415.0732,711.0897958,8274.284852,8603.299415,31799.9524,935.1048891,61423.92808,6937.636562,43.05381994,45.93322487,35.15400458,64.45552405,44.31627913,94.71299911,345.1326523,59.52835186,6.419252554,169.1299637,85.33891525,201.5213837,115.9163744,10.67736169,6.897704854,1.087372505
