depth,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
106,14067.76285,54032.34526,160821.9578,1097.890872,6044.964468,8509.7404,75649.22861,987.4700319,46985.23969,5361.697154,34.71135092,45.44782017,16.60362503,52.14393759,33.81926225,85.67658767,525.7812334,50.51127562,6.935572699,163.4800553,62.82735169,231.7132351,81.14045395,11.31598624,4.822897206,1.777890101
122,14034.92935,50931.54638,165139.0902,1157.97773,5007.434761,10958.61352,78963.34578,669.8286165,39906.88073,4742.866382,10.67703288,53.02383665,15.28182631,46.62550819,26.71658509,77.50197792,323.1676272,51.29168829,4.069782943,188.5652626,43.30374633,294.7190953,111.4703755,10.90121483,5.444752581,1.487565079
132,13977.31259,47898.9224,165418.6036,1179.898914,5621.343744,10604.49274,87781.71835,641.8607684,36336.92277,4653.047715,0,33.56231963,12.84468639,39.50916108,24.63635712,70.44209422,393.7152866,45.91521231,4.748975959,192.5421839,47.93463242,321.0099295,78.03721231,10.70149165,4.249668982,1.033450976
142,15197.15484,49720.82115,160525.8184,1143.661215,5340.89149,11881.02359,88141.5683,672.7657876,39602.77953,4603.679285,0,36.89626238,17.8407698,45.84375091,25.65798407,74.16336011,433.7915393,49.43459387,6.966332831,173.1496304,51.53648155,250.2142503,77.26967014,10.58277548,5.213989683,0.941250908
152,15314.47912,50065.40819,154230.1541,1175.332341,3809.136682,13769.91739,88138.91806,770.8834616,40355.8354,4302.204203,39.63146954,46.57047635,15.85873796,52.76481866,27.78336796,86.46398132,271.0562101,55.75129446,6.604363648,134.6427352,46.21922168,212.2763062,74.95973396,11.8076024,5.282197659,2.006257763
162,13731.72146,52528.93047,147483.9298,1273.320332,6560.954556,7811.797392,88595.96211,878.2623457,46341.99087,4406.860047,10.73982375,49.2416549,24.94691648,62.20356449,35.26406089,95.71888429,374.6460125,48.28600148,6.498779844,128.6492338,71.58975716,253.6442388,72.58549007,8.663805127,6.069812982,6.70632558
171,13614.40592,49156.55512,150167.6676,1064.856762,7076.784405,7672.423834,91801.93904,842.1172318,40942.19501,4572.244355,8.777134014,35.76033907,18.83099014,49.9723185,27.93064589,71.87938409,601.6506333,44.02640221,8.627669467,183.715246,52.03072292,258.503969,68.36446046,10.22342055,4.878503004,2.681583716
183,15450.06563,43437.51895,141892.4187,1112.74947,6014.420002,7335.393296,113267.3196,678.1845099,35620.84103,4308.1806,8.270000683,26.79793344,19.88567037,42.47071443,21.43094799,65.74071155,949.1904321,41.83039254,6.27687003,139.110846,58.07175973,202.4079556,50.62231601,9.421164129,5.955607849,1.584315724
193,14284.63402,38129.82576,140494.9094,1129.224823,4559.888184,7331.328131,124600.2446,558.1221086,29269.92789,4219.261358,0,25.74061571,6.371343529,32.52578128,18.0793385,54.05194579,1187.035976,35.20447517,4.494142657,165.948029,45.45044632,225.9677489,50.78693756,9.122740018,5.703875332,2.547393279
202,14424.67993,45447.09484,157787.3112,1136.548683,5091.539202,11299.64952,95261.60485,649.264359,36128.84901,4399.298651,10.96069187,41.22659352,10.12897121,41.72962599,26.53909863,69.58091335,590.7132587,48.76565295,4.957666122,172.1063194,43.41114514,264.8872293,79.54285701,11.03835398,4.980421955,2.17062814
212,15029.14775,48409.97488,159457.6624,1098.299041,6720.373834,10616.50074,88627.21989,616.8577108,38873.04928,4810.828525,23.22947219,45.54662054,13.35681487,43.22704746,25.88740563,71.35677331,557.6919105,48.12133975,8.051211784,185.3508166,49.64317635,243.1870963,61.43015699,11.12001325,5.636247341,2.242046726
222,14525.71327,40595.6244,143706.1828,1170.805079,5430.927607,7499.735513,119636.8967,529.390668,31447.78681,4285.930337,0,35.51386443,11.04467585,34.65698914,19.31642398,57.43271616,1206.510889,38.29601974,3.33795599,161.9454408,44.46604142,238.7740598,87.40232689,11.90081581,5.448985335,2.119974574
235,15683.93113,45779.07833,152324.779,1079.741439,6514.373082,9901.271617,97182.60454,502.1996233,36494.68765,4408.173304,0,32.61117436,13.12985306,42.7274333,26.63643975,65.57876834,687.9776746,44.3504051,5.131359444,177.5805528,54.79522785,256.5814793,51.46214333,10.61599197,4.706176491,2.119895189
239,14245.637,38094.2143,142026.997,1147.030767,5328.912384,7280.186242,121029.2835,477.4423115,28869.05356,4021.757981,0,24.31450697,11.5250017,33.04285046,20.702356,54.33204214,1029.85443,35.29901995,4.339703162,175.8883685,46.25204696,248.6338427,65.78850466,9.543128182,4.186691772,1.605700079
242,14129.57476,35597.77702,128783.0303,1230.969821,4717.965957,6044.796731,139383.8023,492.0819795,26984.0435,3643.775732,0,23.2557785,11.66747353,31.48990614,16.24475713,50.65881308,1557.101051,32.13342389,3.424709894,141.0280995,41.97081154,229.7116446,46.90186474,10.94149888,6.065650063,2.850368659
245,13991.7265,38212.78626,143767.2504,1177.624519,5105.511876,7077.72041,119945.2503,448.735928,27645.0326,3808.368019,0,28.78817847,9.283536348,31.94290779,18.73057228,53.48436628,973.4269768,36.12651039,3.353069356,174.1303633,38.88737336,278.6002952,33.82336079,9.749695821,4.892681197,2.981297667
255,14955.70348,30020.01635,113143.0423,1140.248396,5904.011481,5003.73958,155890.2585,575.6223122,23719.53634,3345.872996,0,9.743712761,0,28.56976536,13.93985212,44.58376076,1798.161471,27.66564093,3.207051116,116.7982325,53.22623124,212.869706,113.7064613,9.225052153,5.270555355,2.569774051
263,15809.44363,32043.947,113568.6679,1157.896684,5295.787505,4960.135687,155337.9002,546.0755675,24914.03171,3127.566332,0,12.03804607,7.666598524,31.87610213,16.18224858,47.45129559,1647.611945,28.73233378,2.410515253,116.8059244,50.33441681,207.9703053,24.0050406,9.97143734,4.782936157,1.452745803
