depth,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
13,13338.39716,66785.09551,206922.5573,790.5290396,6268.691834,10928.02182,21051.90942,1083.730203,65056.52606,10526.45491,121.5478204,107.7272407,36.42918092,65.76390462,41.46490472,128.6646449,217.5531164,57.41668097,6.307999923,225.9756079,53.62073418,267.0054629,107.7332478,10.44573172,7.285912826,3.754874242
14,16002.14221,75094.30244,203060.7527,680.5824063,7188.006656,10413.32873,13565.03979,981.8250631,67286.91349,8808.515745,82.04220322,60.47008425,40.81369413,75.46679262,47.32046703,144.2568426,177.1175151,63.11474401,8.035366155,203.4235943,74.7125932,223.9357801,81.75642096,10.5892613,5.978764298,2.480548708
15,15612.09875,75359.19502,202524.0607,697.2094566,7631.63976,11018.81089,13359.14251,940.5424981,67502.57201,8657.539445,76.05951426,58.51985177,39.27804796,75.63130831,49.58111711,121.3428694,172.0236636,62.91040689,7.13124205,201.7468162,75.38496335,217.9749545,84.2730121,11.62226947,6.676765367,1.803160531
16,15248.00533,75271.27816,203970.0409,752.008761,5650.353273,11256.33968,18225.75067,980.9828289,66035.59838,8763.557984,103.4468688,96.09715277,36.78298841,74.12117593,45.88870935,143.3270626,199.0928841,61.16722187,8.142079646,198.974337,71.01194692,221.5983893,91.84355973,9.184634892,6.469687558,2.67119101
17,16059.24196,75742.53346,205601.1734,772.6622682,6373.773982,11061.03213,17947.60587,1000.499459,65696.44321,8440.72927,104.8287986,84.69258269,36.28905077,74.23094432,49.8301811,180.8866995,180.1348705,62.30334101,12.44171214,201.2404783,72.77151959,213.7582611,46.43642023,11.41948566,6.122035978,2.368540921
18,15044.44092,72740.37533,204009.105,767.3486245,6034.249043,11085.39973,19504.84044,1036.359241,64780.00151,9021.27067,99.91464218,92.14860137,40.17688486,70.37015146,45.54128152,202.2357187,196.3240799,61.4710816,7.726181424,213.9313,66.16250444,207.2445354,66.31669375,10.40357241,6.632779456,4.108061687
19,14809.21556,72313.20052,199396.8633,687.736535,6838.779436,10659.10047,16508.38473,983.6932854,64919.33207,8596.910965,101.4928496,91.88359367,33.98925753,71.37319324,47.09161801,265.9391497,194.9721316,62.42958115,5.352589531,210.6395958,70.44993111,223.9499982,80.1432182,12.17050493,6.965198721,1.248925931
20,15639.64037,75703.72277,204928.7509,700.6922418,5662.457104,10735.30443,16065.61925,977.0275836,65460.33165,8636.099166,105.0876223,91.3972124,39.26581789,73.53967726,48.07902039,306.4329456,189.4099324,62.27279164,6.125512486,204.3625141,73.42279176,229.6396191,93.6535279,12.58551573,6.453940736,0
30,14851.59363,75192.13119,206073.3897,687.1886062,6600.507038,11248.97005,13458.61848,1014.315147,66946.10615,8809.763058,116.5289548,99.00197786,40.01697875,74.01839748,50.34466302,153.2967869,188.4532213,62.23383541,8.604293814,196.7469074,73.42228514,189.5975083,84.21220356,10.02976276,7.25040093,0
40,14370.58516,70652.50462,201003.9665,753.5399807,6809.433918,9905.805956,22605.84167,1006.991796,63522.78708,8633.090942,97.67222342,80.53408761,35.43658657,68.32880169,43.40058192,131.8891191,229.727656,59.47267021,9.038880304,224.2231066,63.18480079,234.2278089,76.32538098,11.1177165,7.476892138,5.894269949
